series,signal_type,n_short,n_long,kappa,n_fires,n_fires_deduped,fire_rate_pct,tp_rate,fp_rate,avg_fwd_5d,avg_fwd_10d,avg_fwd_20d,avg_fwd_maxdd_20,avg_fwd_maxdd_40,median_fwd_maxdd_20
SPTM,VR_only,5,100,1.5,364,47.0,16.091954022988507,0.3111111111111111,0.6888888888888889,0.26430556942249067,0.5974601359578259,1.1970503503919698,-4.151779224178337,-5.804898558952731,-2.3542194856938434
SPTM,VR+R5<0,5,100,1.75,182,37.0,8.045977011494253,0.3240223463687151,0.6759776536312849,0.2696335129299651,0.47202095323180354,1.4919908382750644,-4.552537891100015,-6.246780956247278,-2.28300667671776
SPTM,VR_only,5,100,1.75,289,46.0,12.7763041556145,0.312280701754386,0.6877192982456141,0.10678485730431674,0.4774553539474485,1.2935657102767146,-4.400119545788259,-6.145810861914076,-2.6009791921665046
SPTM,VR+R5<0,5,100,2.0,158,35.0,6.984969053934571,0.3225806451612903,0.6774193548387096,0.13370779042642195,0.30103725310319923,1.3555830941513216,-4.699168333336491,-6.611132505076944,-2.28300667671776
SPTM,VR_only,5,100,2.0,234,41.0,10.344827586206897,0.30869565217391304,0.691304347826087,-0.07505396465925629,0.3246678434130529,1.2600848923144023,-4.597854614257803,-6.652226030313865,-2.623040336947252
SPTM,VR+R5<0,5,100,2.25,131,30.0,5.7913351016799295,0.31297709923664124,0.6870229007633588,0.055324085572869504,0.1602538754080259,1.6168975433180917,-4.90675188752017,-6.4944235827125425,-2.3122197309417656
SPTM,VR_only,5,100,2.25,187,37.0,8.267020335985853,0.3118279569892473,0.6881720430107527,-0.1771513718898643,0.1576405481349246,1.3053827007451106,-4.92488986590252,-6.917232850454229,-2.6398712046442565
SPTM,VR+R5<0,5,100,2.5,114,28.0,5.039787798408488,0.3157894736842105,0.6842105263157895,-0.05597904018432171,-0.05663656769039982,1.9194438856279459,-5.063465127559437,-6.500674333535413,-2.2976132038297625
SPTM,VR_only,5,100,2.5,151,31.0,6.675508399646331,0.32450331125827814,0.6754966887417219,-0.4203851745409466,-0.19750195483814095,1.44977849842161,-5.303462139581974,-7.366682071247455,-2.643323034672113
SPTM,VR+R5<0,5,100,3.0,74,18.0,3.2714412024756854,0.3108108108108108,0.6891891891891891,0.037283905943091084,0.1353542743078587,2.476738127378008,-5.345993295607929,-6.729227994933304,-1.8912740725048758
